time,BF_object_C,lat_C,long_C,BF_object_D,lat_D,long_D,BF_object_E,lat_E,long_E,C-D,D-C,D-E,E-D,C-E,E-C
+2026-02-05T22:36:47Z,BTR80,35.00010855219329,130.01757068825964,K2BlackPanther,35.000061392148645,130.0245916825277,T90,35.0001649938831,130.0359361995383,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:48Z,BTR80,35.000100470384666,130.0175628457661,K2BlackPanther,35.00005020427497,130.02458194578298,T90,35.000161714527366,130.035870240731,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:49Z,BTR80,35.00010306524202,130.0175596592926,K2BlackPanther,35.00004898059665,130.02458071487857,T90,35.00016526553682,130.03580343842262,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:50Z,BTR80,35.00010485232463,130.01756998981853,K2BlackPanther,35.00004630774635,130.02458928279245,T90,35.000159087583064,130.03573140640427,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:51Z,BTR80,35.00010206270943,130.0175511666717,K2BlackPanther,35.00004876247191,130.0245759634443,T90,35.00016562228469,130.03567918982606,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:52Z,BTR80,35.000107787159955,130.01754980140404,K2BlackPanther,35.0000465849929,130.02458217003016,T90,35.000161094175915,130.03561219031667,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:53Z,BTR80,35.00009989626532,130.0175544327022,K2BlackPanther,35.00004536927538,130.0245806887232,T90,35.000168221497994,130.03554995271122,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:54Z,BTR80,35.00011625034807,130.01755364474224,K2BlackPanther,35.00006154259144,130.024575268666,T90,35.00017116655427,130.03547863587207,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:55Z,BTR80,35.00011660031566,130.0175508174171,K2BlackPanther,35.000051878164705,130.02458191736605,T90,35.00016525047097,130.03542242265354,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:56Z,BTR80,35.000108003767494,130.01755031007352,K2BlackPanther,35.00005932346203,130.02459294550758,T90,35.00015916082811,130.0353465304708,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:57Z,BTR80,35.000110989024776,130.01755033167137,K2BlackPanther,35.00005536235331,130.02457635352374,T90,35.000157306976895,130.03529446364396,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:58Z,BTR80,35.00011052292346,130.0175704662671,K2BlackPanther,35.00004993094307,130.02458265676123,T90,35.000168972820006,130.03523976921358,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:59Z,BTR80,35.00010964566689,130.0175533019042,K2BlackPanther,35.000049413961015,130.02458301691658,T90,35.00016773903564,130.03515578196274,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:00Z,BTR80,35.00011380379547,130.01757023130256,K2BlackPanther,35.00005577309901,130.02457946306063,T90,35.00015422921372,130.0351096779963,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:01Z,BTR80,35.00011588336969,130.0175689488758,K2BlackPanther,35.00004811810376,130.0245839272395,T90,35.00015369535187,130.03504906897703,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:02Z,BTR80,35.00010464955267,130.01755062913497,K2BlackPanther,35.00004901635668,130.0245766639034,T90,35.00017057499386,130.03498520169708,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:03Z,BTR80,35.00011238656472,130.0175590084006,K2BlackPanther,35.00005092707951,130.02457723996926,T90,35.00016799657308,130.0349075999218,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:04Z,BTR80,35.000114933774896,130.01756470385703,K2BlackPanther,35.00005977191467,130.02458810044592,T90,35.00016711822762,130.034840794871,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:05Z,BTR80,35.00010247290288,130.01755195350992,K2BlackPanther,35.00004918017106,130.02459007905924,T90,35.00016365384251,130.03477619122378,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:06Z,BTR80,35.00011514050431,130.0175561043507,K2BlackPanther,35.00005948056199,130.02457805904646,T90,35.000161106167546,130.03471874050692,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:07Z,BTR80,35.000114659942845,130.01755052648969,K2BlackPanther,35.00005067193384,130.02458630013996,T90,35.00016486874398,130.03466128351408,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:08Z,BTR80,35.00010578074728,130.01756249764406,K2BlackPanther,35.00004534546079,130.0245877520505,T90,35.00016988342094,130.0345970334844,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:09Z,BTR80,35.00010379819484,130.01755982101736,K2BlackPanther,35.00006304680003,130.02457695970264,T90,35.00015698579245,130.03453858253556,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:10Z,BTR80,35.00010768622912,130.0175521010465,K2BlackPanther,35.00005910445555,130.02458317589176,T90,35.00016606460133,130.03446595171226,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:11Z,BTR80,35.00010188602716,130.0175550005509,K2BlackPanther,35.000054939065926,130.02458806223828,T90,35.00015826542177,130.03441371230838,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:12Z,BTR80,35.000104166072596,130.017564360681,K2BlackPanther,35.000053045357284,130.02458184037752,T90,35.00016436883155,130.03434308426338,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:13Z,BTR80,35.000103758872875,130.01755539233733,K2BlackPanther,35.0000544779594,130.0245849537997,T90,35.00015344166415,130.03427167049648,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:14Z,BTR80,35.00010428442177,130.0175498945608,K2BlackPanther,35.00006194243257,130.02459476756908,T90,35.0001680174653,130.03421865656404,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:15Z,BTR80,35.00011010153446,130.0175645185112,K2BlackPanther,35.00005580794043,130.02458284299635,T90,35.00016323297953,130.03415392751845,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:16Z,BTR80,35.000113493561564,130.01755940106528,K2BlackPanther,35.0000555099275,130.02458048188353,T90,35.00016014208715,130.03409259144786,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:17Z,BTR80,35.00011071672551,130.01756718294942,K2BlackPanther,35.00005649153,130.02458436791858,T90,35.00016783244313,130.03402830727612,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:18Z,BTR80,35.000108389427524,130.01756650353306,K2BlackPanther,35.00005750055962,130.02459447717567,T90,35.00016512154756,130.0339714839165,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:19Z,BTR80,35.00010661685861,130.0175706131605,K2BlackPanther,35.00004588861566,130.0245945254931,T90,35.00016110498914,130.03390811563068,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:20Z,BTR80,35.00011646788892,130.01755262298647,K2BlackPanther,35.00005491442811,130.02459204163154,T90,35.00016221489293,130.03384147161609,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:21Z,BTR80,35.00010431378423,130.01755999643265,K2BlackPanther,35.00004989228049,130.0245941690675,T90,35.0001571381492,130.03376335846957,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:22Z,BTR80,35.000116088953895,130.01756022943593,K2BlackPanther,35.00005838550623,130.02458103917155,T90,35.000170940697544,130.03371216658465,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:23Z,BTR80,35.000099699886874,130.01756132687302,K2BlackPanther,35.00005893703909,130.02457447774083,T90,35.0001659826933,130.03365501434948,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:24Z,BTR80,35.0001061066404,130.01755852863616,K2BlackPanther,35.000052722009634,130.02458857886575,T90,35.000159795224455,130.03358102307945,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:25Z,BTR80,35.000103348360085,130.01756409872007,K2BlackPanther,35.000057394775205,130.0245871666046,T90,35.0001674712616,130.03351919733984,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:26Z,BTR80,35.000112872844376,130.0175675561187,K2BlackPanther,35.00006252293561,130.02458918860782,T90,35.00016443150669,130.0334537216391,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:27Z,BTR80,35.000117107313635,130.01755330400118,K2BlackPanther,35.00004607822417,130.02457783393183,T90,35.000162668845206,130.03338572574722,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:28Z,BTR80,35.00010170042568,130.01756754541776,K2BlackPanther,35.00005206465225,130.02458115911892,T90,35.000155812024246,130.03333901923003,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:29Z,BTR80,35.00011327265652,130.01756010733695,K2BlackPanther,35.000046667917395,130.0245806457198,T90,35.00015728380274,130.0332693648938,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:30Z,BTR80,35.00010996831565,130.01755935127187,K2BlackPanther,35.00004679980225,130.02458643189127,T90,35.00015392629585,130.03319218272145,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:31Z,BTR80,35.00010915061924,130.0175708505005,K2BlackPanther,35.000048655666006,130.0245869181732,T90,35.0001706051189,130.03314567124568,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:32Z,BTR80,35.00010814401743,130.0175501490121,K2BlackPanther,35.00005241160018,130.02457422551169,T90,35.000164175578284,130.03307841449117,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:33Z,BTR80,35.00010865972988,130.01756998554666,K2BlackPanther,35.00005072620163,130.0245748191307,T90,35.00016706561625,130.03301488434283,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:34Z,BTR80,35.000114691385065,130.01755787469983,K2BlackPanther,35.00004531775493,130.02458572299125,T90,35.00016157549932,130.032946699355,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:35Z,BTR80,35.000109705184244,130.0175655415553,K2BlackPanther,35.0000611212996,130.0245762175122,T90,35.00016960225487,130.03288289325903,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:36Z,BTR80,35.00009958059801,130.01756993702801,K2BlackPanther,35.000046240798405,130.0245934646665,T90,35.000155335823464,130.03282702855273,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:37Z,BTR80,35.00011515432388,130.01755803125639,K2BlackPanther,35.000055565159045,130.02457718087211,T90,35.00016218552622,130.03276255123498,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:38Z,BTR80,35.000106532417206,130.01755356674397,K2BlackPanther,35.000060345562154,130.0245857887553,T90,35.00016708284951,130.03269003715056,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:39Z,BTR80,35.000103583078335,130.0175708003869,K2BlackPanther,35.00006030760555,130.02458914543845,T90,35.00016234379367,130.0326260914554,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:40Z,BTR80,35.00011520928368,130.0175533488295,K2BlackPanther,35.00004896399069,130.02459495151848,T90,35.00016516180677,130.0325594854122,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:41Z,BTR80,35.00010911462404,130.0175553505512,K2BlackPanther,35.000050598600005,130.0245771625489,T90,35.00016134277282,130.03250008080477,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:42Z,BTR80,35.00011487306743,130.01756723405515,K2BlackPanther,35.0000515524765,130.02457969028242,T90,35.00015831685999,130.03243163641963,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:43Z,BTR80,35.0001109066083,130.0175493803257,K2BlackPanther,35.00005520712795,130.02458236736865,T90,35.00015949007622,130.03238258171487,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:44Z,BTR80,35.0001160137044,130.0175521686327,K2BlackPanther,35.000059584857375,130.02457783673535,T90,35.0001680779788,130.03230596360086,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:45Z,BTR80,35.00011171505154,130.01755329631567,K2BlackPanther,35.00005049686465,130.0245856555279,T90,35.000165855295165,130.03224901329597,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:46Z,BTR80,35.00011639864677,130.0175548840689,K2BlackPanther,35.000047312913175,130.02459358372457,T90,35.000156903681656,130.03218976078742,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:47Z,BTR80,35.0001136974328,130.0175597397209,K2BlackPanther,35.00005529303677,130.0245788573396,T90,35.000168420214365,130.0321226984007,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:48Z,BTR80,35.00010541385082,130.01756249526022,K2BlackPanther,35.000054444526825,130.02459015536692,T90,35.000155696424656,130.03206950927927,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:49Z,BTR80,35.000111110512606,130.0175561720625,K2BlackPanther,35.0000494006212,130.02457765617396,T90,35.00016101528981,130.03200046084575,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:50Z,BTR80,35.00010720908107,130.0175556975217,K2BlackPanther,35.00006077395729,130.02458060707846,T90,35.00016324883572,130.03194401105793,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:51Z,BTR80,35.00010325702099,130.01756498879877,K2BlackPanther,35.00005256037455,130.02458244253987,T90,35.00016869226794,130.03187138686246,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:52Z,BTR80,35.00010253016296,130.0175691959978,K2BlackPanther,35.00005697680444,130.02457506131384,T90,35.000167530108826,130.0318017742894,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:53Z,BTR80,35.00010941913141,130.01756762643353,K2BlackPanther,35.000061873424784,130.02458855569682,T90,35.00016781263564,130.03173683736392,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:54Z,BTR80,35.000099647276514,130.01756082467676,K2BlackPanther,35.000057341483966,130.02458110895543,T90,35.00015509473269,130.03167998660896,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:55Z,BTR80,35.00011209905466,130.0175497456512,K2BlackPanther,35.000045283991014,130.0245883183793,T90,35.00015939472318,130.03160829912886,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:56Z,BTR80,35.00010844002495,130.0175584416737,K2BlackPanther,35.00006239503394,130.0245818863265,T90,35.000161465099026,130.0315568877059,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:57Z,BTR80,35.00010452090586,130.01755676282067,K2BlackPanther,35.00004652553631,130.02458801885163,T90,35.00015504358865,130.03150056513354,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:58Z,BTR80,35.00010503592211,130.01755689462186,K2BlackPanther,35.00004545258217,130.0245795201277,T90,35.000165248054756,130.03142762746225,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:59Z,BTR80,35.0001094864283,130.01755198832785,K2BlackPanther,35.000048718911515,130.02458646755227,T90,35.00016259640009,130.0313596186994,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:00Z,BTR80,35.00010063421737,130.01756455463925,K2BlackPanther,35.000046877266584,130.02458308645524,T90,35.000163515084594,130.0312939823508,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:01Z,BTR80,35.00010131659792,130.01755117687358,K2BlackPanther,35.000056134760165,130.02457755036647,T90,35.0001696302373,130.03124069206922,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:02Z,BTR80,35.00010751425197,130.01756734227683,K2BlackPanther,35.00004731209389,130.02459433316528,T90,35.000158729812576,130.03117871073138,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:03Z,BTR80,35.000103713983336,130.0175559673755,K2BlackPanther,35.000048019513336,130.02458258288917,T90,35.00015938043584,130.031108071146,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:04Z,BTR80,35.00010998291291,130.01755340334978,K2BlackPanther,35.00004578385194,130.0245769035683,T90,35.00015386973986,130.0310461758418,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:05Z,BTR80,35.00010326357768,130.01755950031307,K2BlackPanther,35.000046925354575,130.02457497286156,T90,35.00015401929677,130.030976444929,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:06Z,BTR80,35.00010175571463,130.0175617510568,K2BlackPanther,35.00004935543675,130.02457767699858,T90,35.00016264412905,130.0309206839,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:07Z,BTR80,35.000115244437964,130.01755167066,K2BlackPanther,35.000062678554414,130.0245733517332,T90,35.000170953753624,130.03084808617396,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:08Z,BTR80,35.00010311521992,130.01754904144858,K2BlackPanther,35.00005906336621,130.0245855842677,T90,35.00016438042458,130.03078978661875,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:09Z,BTR80,35.00010086894866,130.01754937945606,K2BlackPanther,35.00005493471876,130.02458795382927,T90,35.00016123995842,130.0307329378222,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:10Z,BTR80,35.00010317154565,130.01755122888326,K2BlackPanther,35.000053098469884,130.02459359807153,T90,35.000170934968864,130.03065978908265,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:11Z,BTR80,35.00011721018834,130.01756340692728,K2BlackPanther,35.000061938543816,130.0245858930404,T90,35.000158786995826,130.03060228231945,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:12Z,BTR80,35.00010453836768,130.0175567843197,K2BlackPanther,35.000059070998134,130.02457607205795,T90,35.00016196293745,130.03053904080807,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:13Z,BTR80,35.00010477551309,130.01755198119176,K2BlackPanther,35.00004956596784,130.02457304084274,T90,35.00015781010317,130.0304784989871,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:14Z,BTR80,35.00009979661564,130.017556018693,K2BlackPanther,35.00005735828683,130.02458959011489,T90,35.00016487384979,130.03042334760167,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:15Z,BTR80,35.00010712284287,130.01755775241094,K2BlackPanther,35.000055920670505,130.02457484307942,T90,35.00015577379135,130.03035778273997,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:16Z,BTR80,35.0001039723362,130.01756457668012,K2BlackPanther,35.00004787621868,130.02459216275562,T90,35.00016677629587,130.03029113659142,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:17Z,BTR80,35.0001089217262,130.0175587680019,K2BlackPanther,35.00005120503331,130.0245942091997,T90,35.00015460318665,130.0302236988057,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:18Z,BTR80,35.00011452747577,130.01756622392057,K2BlackPanther,35.0000577519862,130.0245819743964,T90,35.00015621602614,130.03016580135238,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:19Z,BTR80,35.00011396129157,130.01756434394682,K2BlackPanther,35.00004997776997,130.02457365006492,T90,35.000164334374425,130.030092079013,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:20Z,BTR80,35.00010119228401,130.01756017081934,K2BlackPanther,35.00004511397044,130.0245943893264,T90,35.00016752483271,130.030025387064,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:21Z,BTR80,35.00010850920496,130.01755313793913,K2BlackPanther,35.00005942802501,130.02459481432666,T90,35.00015897832477,130.02997461112173,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:22Z,BTR80,35.000114132292914,130.01755112631147,K2BlackPanther,35.0000595305761,130.0245899663036,T90,35.00015364976217,130.02990934964745,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:23Z,BTR80,35.0001116954484,130.0175530853949,K2BlackPanther,35.00005573506285,130.02458663257218,T90,35.00016472147108,130.02984726437515,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:24Z,BTR80,35.00010993256389,130.01755893010835,K2BlackPanther,35.000047561907486,130.02459297975187,T90,35.000170088017285,130.0297779812564,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:25Z,BTR80,35.000115774621676,130.01755680301184,K2BlackPanther,35.00006164036145,130.02459486515914,T90,35.00017111424241,130.02972288065715,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:26Z,BTR80,35.000103226243795,130.01757091246728,K2BlackPanther,35.00004749894396,130.02458304606552,T90,35.00017104703634,130.02964727760087,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:27Z,BTR80,35.000110653137405,130.01756542811734,K2BlackPanther,35.00005992255557,130.02459182370436,T90,35.000167510699846,130.0296000461723,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:28Z,BTR80,35.00010875536388,130.01755313710845,K2BlackPanther,35.0000540178146,130.02457753910207,T90,35.00016468505928,130.02953157164606,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:29Z,BTR80,35.000110684270155,130.01755809564196,K2BlackPanther,35.00005410299889,130.02457823363395,T90,35.00015815199852,130.02947268456265,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:30Z,BTR80,35.00010579774767,130.0175525497881,K2BlackPanther,35.00005933334852,130.02459263886342,T90,35.00016787884105,130.02939158570499,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:31Z,BTR80,35.000113709356135,130.01756685939287,K2BlackPanther,35.000053783265884,130.02458317485826,T90,35.000167286197694,130.02932981831287,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:32Z,BTR80,35.000106695558976,130.0175611572601,K2BlackPanther,35.000050775851804,130.0245739858836,T90,35.000162837129764,130.0292773091062,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:33Z,BTR80,35.00010311822647,130.01755680863772,K2BlackPanther,35.000059393402864,130.02458576177432,T90,35.000160216991965,130.02920767002965,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:34Z,BTR80,35.00010993706108,130.0175518681071,K2BlackPanther,35.00004720072444,130.02458034812452,T90,35.00015461520872,130.0291377505304,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:35Z,BTR80,35.00011662582927,130.0175679066447,K2BlackPanther,35.00005094813076,130.02457680271388,T90,35.00016146622842,130.0290956532028,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:36Z,BTR80,35.000117195016905,130.01756984764913,K2BlackPanther,35.00005676316898,130.02458644565155,T90,35.00016767131574,130.02902069358427,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:37Z,BTR80,35.000112282664794,130.01755801734865,K2BlackPanther,35.0000623423744,130.02458627229592,T90,35.00016506974618,130.02896157784346,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:38Z,BTR80,35.00011366463436,130.0175681889791,K2BlackPanther,35.00005756015811,130.02458761418745,T90,35.00016004652811,130.02888474354256,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:39Z,BTR80,35.00010543120192,130.01756909096503,K2BlackPanther,35.000055410600496,130.02458101337987,T90,35.000159212977614,130.02883751172786,behind of,ahead of,behind of,ahead of,behind of,ahead of
