time,BF_object_A,lat_A,long_A,BF_object_B,lat_B,long_B,BF_object_C,lat_C,long_C,A-B,B-A,B-C,C-B,A-C,C-A
+2026-02-05T22:37:08Z,T-72,35,130.0032486,T-62,35.0000541,130.0037359,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:09Z,T-72,35,130.0033364,T-62,35.0000541,130.0038369,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:10Z,T-72,35,130.0034242,T-62,35.0000541,130.0039378,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:11Z,T-72,35,130.003512,T-62,35.0000541,130.0040388,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:12Z,T-72,35,130.0035998,T-62,35.0000541,130.0041398,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:13Z,T-72,35,130.0036876,T-62,35.0000541,130.0042407,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:14Z,T-72,35,130.0037754,T-62,35.0000541,130.0043417,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:15Z,T-72,35,130.0038632,T-62,35.0000541,130.0044427,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:16Z,T-72,35,130.003951,T-62,35.0000541,130.0045437,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:17Z,T-72,35,130.0040388,T-62,35.0000541,130.0046446,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:18Z,T-72,35,130.0041266,T-62,35.0000541,130.0047456,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:19Z,T-72,35,130.0042144,T-62,35.0000541,130.0048466,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:20Z,T-72,35,130.0043022,T-62,35.0000541,130.0049475,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:21Z,T-72,35,130.00439,T-62,35.0000541,130.0050485,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:22Z,T-72,35,130.0044778,T-62,35.0000541,130.0051495,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:23Z,T-72,35,130.0045656,T-62,35.0000541,130.0052504,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:24Z,T-72,35,130.0046534,T-62,35.0000541,130.0053514,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:25Z,T-72,35,130.0047412,T-62,35.0000541,130.0054524,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:26Z,T-72,35,130.004829,T-62,35.0000541,130.0055534,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:27Z,T-72,35,130.0049168,T-62,35.0000541,130.0056543,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:28Z,T-72,35,130.0050046,T-62,35.0000541,130.0057553,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:29Z,T-72,35,130.0050924,T-62,35.0000541,130.0058563,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:30Z,T-72,35,130.0051802,T-62,35.0000541,130.0059572,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:31Z,T-72,35,130.005268,T-62,35.0000541,130.0060582,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:32Z,T-72,35,130.0053558,T-62,35.0000541,130.0061592,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:33Z,T-72,35,130.0054436,T-62,35.0000541,130.0062601,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:34Z,T-72,35,130.0055314,T-62,35.0000541,130.0063611,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:35Z,T-72,35,130.0056192,T-62,35.0000541,130.0064621,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:36Z,T-72,35,130.005707,T-62,35.0000541,130.0065631,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:37Z,T-72,35,130.0057948,T-62,35.0000541,130.006664,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:38Z,T-72,35,130.0058826,T-62,35.0000541,130.006765,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:39Z,T-72,35,130.0059704,T-62,35.0000541,130.006866,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:40Z,T-72,35,130.0060582,T-62,35.0000541,130.0069669,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:41Z,T-72,35,130.006146,T-62,35.0000541,130.0070679,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:42Z,T-72,35,130.0062338,T-62,35.0000541,130.0071689,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:43Z,T-72,35,130.0063216,T-62,35.0000541,130.0072698,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:44Z,T-72,35,130.0064094,T-62,35.0000541,130.0073708,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:45Z,T-72,35,130.0064972,T-62,35.0000541,130.0074718,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:46Z,T-72,35,130.006585,T-62,35.0000541,130.0075728,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:47Z,T-72,35,130.0066728,T-62,35.0000541,130.0076737,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:48Z,T-72,35,130.0067606,T-62,35.0000541,130.0077747,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:49Z,T-72,35,130.0068484,T-62,35.0000541,130.0078757,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:50Z,T-72,35,130.0069362,T-62,35.0000541,130.0079766,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:51Z,T-72,35,130.007024,T-62,35.0000541,130.0080776,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:52Z,T-72,35,130.0071118,T-62,35.0000541,130.0081786,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:53Z,T-72,35,130.0071996,T-62,35.0000541,130.0082795,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:54Z,T-72,35,130.0072874,T-62,35.0000541,130.0083805,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:55Z,T-72,35,130.0073752,T-62,35.0000541,130.0084815,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:56Z,T-72,35,130.007463,T-62,35.0000541,130.0085825,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:57Z,T-72,35,130.0075508,T-62,35.0000541,130.0086834,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:58Z,T-72,35,130.0076386,T-62,35.0000541,130.0087844,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:59Z,T-72,35,130.0077264,T-62,35.0000541,130.0088854,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:00Z,T-72,35,130.0078142,T-62,35.0000541,130.0089863,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:01Z,T-72,35,130.007902,T-62,35.0000541,130.0090873,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:02Z,T-72,35,130.0079898,T-62,35.0000541,130.0091883,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:03Z,T-72,35,130.0080776,T-62,35.0000541,130.0092892,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:04Z,T-72,35,130.0081654,T-62,35.0000541,130.0093902,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:05Z,T-72,35,130.0082532,T-62,35.0000541,130.0094912,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:06Z,T-72,35,130.008341,T-62,35.0000541,130.0095922,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:07Z,T-72,35,130.0084288,T-62,35.0000541,130.0096931,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:08Z,T-72,35,130.0085166,T-62,35.0000541,130.0097941,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:09Z,T-72,35,130.0086044,T-62,35.0000541,130.0098951,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:10Z,T-72,35,130.0086922,T-62,35.0000541,130.009996,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:11Z,T-72,35,130.00878,T-62,35.0000541,130.010097,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:12Z,T-72,35,130.0088678,T-62,35.0000541,130.010198,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:13Z,T-72,35,130.0089556,T-62,35.0000541,130.0102989,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:14Z,T-72,35,130.0090434,T-62,35.0000541,130.0103999,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:15Z,T-72,35,130.0091312,T-62,35.0000541,130.0105009,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:16Z,T-72,35,130.009219,T-62,35.0000541,130.0106019,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:17Z,T-72,35,130.0093068,T-62,35.0000541,130.0107028,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:18Z,T-72,35,130.0093946,T-62,35.0000541,130.0108038,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:19Z,T-72,35,130.0094824,T-62,35.0000541,130.0109048,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:20Z,T-72,35,130.0095702,T-62,35.0000541,130.0110057,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:21Z,T-72,35,130.009658,T-62,35.0000541,130.0111067,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:22Z,T-72,35,130.0097458,T-62,35.0000541,130.0112077,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:23Z,T-72,35,130.0098336,T-62,35.0000541,130.0113086,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:24Z,T-72,35,130.0099214,T-62,35.0000541,130.0114096,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:25Z,T-72,35,130.0100092,T-62,35.0000541,130.0115106,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:26Z,T-72,35,130.010097,T-62,35.0000541,130.0116116,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:27Z,T-72,35,130.0101848,T-62,35.0000541,130.0117125,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:28Z,T-72,35,130.0102726,T-62,35.0000541,130.0118135,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:29Z,T-72,35,130.0103604,T-62,35.0000541,130.0119145,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:30Z,T-72,35,130.0104482,T-62,35.0000541,130.0120154,BTR-80,35.0000541,130.01756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:31Z,T-72,35,130.010536,T-62,35.0000541,130.0100092,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:32Z,T-72,35,130.0106238,T-62,35.0000541,130.0100926,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:33Z,T-72,35,130.0107116,T-62,35.0000541,130.010176,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:34Z,T-72,35,130.0107994,T-62,35.0000541,130.0102594,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:35Z,T-72,35,130.0108872,T-62,35.0000541,130.0103428,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:36Z,T-72,35,130.010975,T-62,35.0000541,130.0104263,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:37Z,T-72,35,130.0110628,T-62,35.0000541,130.0105097,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:38Z,T-72,35,130.0111506,T-62,35.0000541,130.0105931,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:39Z,T-72,35,130.0112384,T-62,35.0000541,130.0106765,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:40Z,T-72,35,130.0113262,T-62,35.0000541,130.0107599,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:41Z,T-72,35,130.011414,T-62,35.0000541,130.0108433,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:42Z,T-72,35,130.0115018,T-62,35.0000541,130.0109267,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:43Z,T-72,35,130.0115896,T-62,35.0000541,130.0110101,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:44Z,T-72,35,130.0116774,T-62,35.0000541,130.0110935,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:45Z,T-72,35,130.0117652,T-62,35.0000541,130.0111769,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:46Z,T-72,35,130.011853,T-62,35.0000541,130.0112604,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:47Z,T-72,35,130.0119408,T-62,35.0000541,130.0113438,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:48Z,T-72,35,130.0120286,T-62,35.0000541,130.0114272,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:49Z,T-72,35,130.0121164,T-62,35.0000541,130.0115106,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:50Z,T-72,35,130.0122042,T-62,35.0000541,130.011594,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:51Z,T-72,35,130.012292,T-62,35.0000541,130.0116774,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:52Z,T-72,35,130.0123798,T-62,35.0000541,130.0117608,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:53Z,T-72,35,130.0124676,T-62,35.0000541,130.0118442,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:54Z,T-72,35,130.0125554,T-62,35.0000541,130.0119276,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:55Z,T-72,35,130.0126432,T-62,35.0000541,130.012011,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:56Z,T-72,35,130.012731,T-62,35.0000541,130.0120945,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:57Z,T-72,35,130.0128188,T-62,35.0000541,130.0121779,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:58Z,T-72,35,130.0129066,T-62,35.0000541,130.0122613,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:59Z,T-72,35,130.0129944,T-62,35.0000541,130.0123447,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:00Z,T-72,35,130.0130822,T-62,35.0000541,130.0124281,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:01Z,T-72,35,130.01317,T-62,35.0000541,130.0125115,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:02Z,T-72,35,130.0132578,T-62,35.0000541,130.0125949,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:03Z,T-72,35,130.0133456,T-62,35.0000541,130.0126783,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:04Z,T-72,35,130.0134334,T-62,35.0000541,130.0127617,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:05Z,T-72,35,130.0135212,T-62,35.0000541,130.0128451,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:06Z,T-72,35,130.013609,T-62,35.0000541,130.0129286,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:07Z,T-72,35,130.0136968,T-62,35.0000541,130.013012,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:08Z,T-72,35,130.0137846,T-62,35.0000541,130.0130954,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:09Z,T-72,35,130.0138724,T-62,35.0000541,130.0131788,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:10Z,T-72,35,130.0139602,T-62,35.0000541,130.0132622,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:11Z,T-72,35,130.014048,T-62,35.0000541,130.0133456,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:12Z,T-72,35,130.0141358,T-62,35.0000541,130.013429,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:13Z,T-72,35,130.0142236,T-62,35.0000541,130.0135124,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:14Z,T-72,35,130.0143114,T-62,35.0000541,130.0135958,BTR-80,35.0000541,130.01756,in front of,in back of,in back of,in front of,in back of,in front of
