time,BF_object_C,lat_C,long_C,BF_object_D,lat_D,long_D,BF_object_E,lat_E,long_E,C-D,D-C,D-E,E-D,E-C,C-E
+2026-02-05T22:37:11Z,Platform_A,35.0000430353733,130.01757496086816,K2BlackPanther,35.00004928799011,130.02722532770812,T90,35.000172139593104,130.03399530857595,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:12Z,Platform_A,35.000053984869126,130.01753873140584,K2BlackPanther,35.00001310473686,130.02721245887895,T90,35.00014404420122,130.0339463347607,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:13Z,Platform_A,35.000047363852964,130.0175773617699,K2BlackPanther,35.000045964660586,130.02721993622978,T90,35.00017919089348,130.03386470329545,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:14Z,Platform_A,35.000059580357984,130.0175578784991,K2BlackPanther,35.00004687084237,130.02723895936631,T90,35.00017026398823,130.0337885676455,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:15Z,Platform_A,35.000062878520524,130.01756422993583,K2BlackPanther,35.00003777500092,130.0272284054302,T90,35.00015818070485,130.03370727858294,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:16Z,Platform_A,35.00003497472261,130.01756858975656,K2BlackPanther,35.00004694259277,130.02721909205357,T90,35.000143544065416,130.0336497542318,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:17Z,Platform_A,35.00004672938683,130.01756787484322,K2BlackPanther,35.00002377856736,130.02722339764944,T90,35.00014054749527,130.03355323472258,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:18Z,Platform_A,35.00003299084769,130.0175756844928,K2BlackPanther,35.00002997306928,130.02719908305502,T90,35.00018069178872,130.03347515062256,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:19Z,Platform_A,35.00007200159702,130.0175392359859,K2BlackPanther,35.00003444789308,130.02720991470724,T90,35.00017798691216,130.03340961928748,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:20Z,Platform_A,35.00003646118981,130.01755905784435,K2BlackPanther,35.000036294519646,130.02721954795513,T90,35.00017518626107,130.03334204993823,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:21Z,Platform_A,35.00006902804703,130.01756096259845,K2BlackPanther,35.000048339823195,130.02722210305222,T90,35.000168471427166,130.03325622767022,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:22Z,Platform_A,35.00004076217007,130.01755827149694,K2BlackPanther,35.000034733278916,130.02722729363492,T90,35.00018158844534,130.03317552522319,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:23Z,Platform_A,35.000069770104794,130.0175692231404,K2BlackPanther,35.00002786603632,130.02719734174488,T90,35.000141114686,130.03310982163728,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:24Z,Platform_A,35.00007505702973,130.01754022888724,K2BlackPanther,35.000051793306326,130.0272149959041,T90,35.000146497120504,130.0330391563867,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:25Z,Platform_A,35.00003796518368,130.01757365113087,K2BlackPanther,35.000030785149285,130.02721952316048,T90,35.00014413503321,130.0329732857448,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:26Z,Platform_A,35.00005454060621,130.01757970519242,K2BlackPanther,35.00004247451214,130.02723406062927,T90,35.000181867990776,130.03288970383878,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:27Z,Platform_A,35.00005361640258,130.0175569489837,K2BlackPanther,35.000028664856934,130.02722293901462,T90,35.00017358717653,130.0328118871655,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:28Z,Platform_A,35.0000504946046,130.01754274738306,K2BlackPanther,35.0000250303713,130.0272159215788,T90,35.000150634457995,130.03274442577472,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:29Z,Platform_A,35.000065803226136,130.01756739132992,K2BlackPanther,35.000027699782194,130.02721937860477,T90,35.000168603922134,130.03267124759674,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:30Z,Platform_A,35.00006627671655,130.0175616437754,K2BlackPanther,35.000047111022326,130.02723927236036,T90,35.00018177458432,130.03260126995065,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:31Z,Platform_A,35.000062398057075,130.01757690450222,K2BlackPanther,35.00002040038861,130.02720169662962,T90,35.0001627148358,130.03251682245505,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:32Z,Platform_A,35.00004817840984,130.0175542836075,K2BlackPanther,35.00002103297664,130.0272226186588,T90,35.00018019648572,130.03246465622232,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:33Z,Platform_A,35.000065896256125,130.01757482421021,K2BlackPanther,35.000026619737426,130.02723248342878,T90,35.0001463947018,130.0323913074358,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:34Z,Platform_A,35.00004170281019,130.01756294905476,K2BlackPanther,35.00004951449893,130.02723436675262,T90,35.000173510363325,130.03231441797868,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:35Z,Platform_A,35.00004329117781,130.01757334898898,K2BlackPanther,35.000044798142795,130.02723980790103,T90,35.00018203505148,130.03222789602117,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:36Z,Platform_A,35.0000348060512,130.0175447383274,K2BlackPanther,35.00002168919575,130.02719815575313,T90,35.00015721252169,130.03217889784213,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:37Z,Platform_A,35.000053463270426,130.01754822364458,K2BlackPanther,35.00002492115935,130.02721632637798,T90,35.00014864231429,130.03207021823297,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:38Z,Platform_A,35.00006839591135,130.01756644019986,K2BlackPanther,35.000042214548856,130.02722226329143,T90,35.0001531293281,130.03201753324578,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:39Z,Platform_A,35.00003896100058,130.01754628926952,K2BlackPanther,35.00001235071411,130.02721292120256,T90,35.000175904719136,130.0319499971164,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:40Z,Platform_A,35.000057735564816,130.01755381659584,K2BlackPanther,35.00003239893361,130.02722846483522,T90,35.00015929256919,130.0318782533598,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:41Z,Platform_A,35.000073737405366,130.0175523616019,K2BlackPanther,35.000039343678246,130.02722041573585,T90,35.00018208316165,130.03177192581958,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:42Z,Platform_A,35.00004263835411,130.01754003119072,K2BlackPanther,35.00003756597284,130.02721287472025,T90,35.00014459428956,130.03170969019737,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:43Z,Platform_A,35.000060411083595,130.01755575096755,K2BlackPanther,35.00002588049525,130.027212805783,T90,35.00018130835531,130.03165084814984,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:44Z,Platform_A,35.000057765451636,130.01754120989074,K2BlackPanther,35.00002446988715,130.0272190247786,T90,35.00018196409353,130.0315728374761,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:45Z,Platform_A,35.00005476610055,130.01754583675088,K2BlackPanther,35.00003571165007,130.02723799639855,T90,35.00017900290899,130.03151255881875,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:46Z,Platform_A,35.00007127546087,130.01755295324315,K2BlackPanther,35.00004586935956,130.0272272833306,T90,35.00016744179613,130.03142621171725,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:47Z,Platform_A,35.000069767108464,130.0175669700572,K2BlackPanther,35.000033194382446,130.02721402960233,T90,35.000182889198754,130.03134327712837,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:48Z,Platform_A,35.00007424876324,130.01755066029244,K2BlackPanther,35.00005250461968,130.02720272586873,T90,35.000157188942936,130.0312921631367,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:49Z,Platform_A,35.00006191171174,130.0175685199928,K2BlackPanther,35.00003939680699,130.02722353131614,T90,35.000182517713746,130.03121416375512,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:50Z,Platform_A,35.00003442344839,130.01757055053625,K2BlackPanther,35.00003829253449,130.0272162287119,T90,35.00016170909203,130.03112566382325,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:51Z,Platform_A,35.00003936499486,130.01756077887438,K2BlackPanther,35.000022201065796,130.0272288463388,T90,35.00016976931755,130.03104466000102,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:52Z,Platform_A,35.00005753418239,130.01755397095033,K2BlackPanther,35.000038128011504,130.0272345594913,T90,35.00017395692162,130.0309741574645,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:53Z,Platform_A,35.000070240664776,130.0175660786073,K2BlackPanther,35.00001746793501,130.02721894331722,T90,35.000140961022396,130.03091581841406,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:54Z,Platform_A,35.00006814166221,130.01757266651038,K2BlackPanther,35.000049699936355,130.02723354107724,T90,35.00015179555729,130.03084590944974,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:55Z,Platform_A,35.000072838850016,130.01757830573112,K2BlackPanther,35.00001016932764,130.02721083531094,T90,35.000152721434795,130.0307386415607,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:56Z,Platform_A,35.00005334566873,130.01755439101072,K2BlackPanther,35.00001682074769,130.0272302352256,T90,35.00017346172733,130.03067285479617,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:57Z,Platform_A,35.00004109389608,130.01756989262154,K2BlackPanther,35.00001780423509,130.02722779275823,T90,35.00017093055257,130.0306083360067,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:58Z,Platform_A,35.00007013121322,130.01757601334543,K2BlackPanther,35.00003859341491,130.02721662591006,T90,35.00015243442999,130.0305561699468,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:37:59Z,Platform_A,35.00006562251839,130.0175801351705,K2BlackPanther,35.00004447286803,130.0272184809882,T90,35.000168923597016,130.03044564563925,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:00Z,Platform_A,35.00003761000832,130.0175621079718,K2BlackPanther,35.00003387535876,130.0272063399953,T90,35.00016130839043,130.03038413926606,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:01Z,Platform_A,35.00005531011067,130.0175776624052,K2BlackPanther,35.000020673771296,130.02720110949733,T90,35.00017507645657,130.03030425368948,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:02Z,Platform_A,35.00004475835499,130.01755415289998,K2BlackPanther,35.00001471133066,130.02720510212274,T90,35.00015492601891,130.03025051492392,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:03Z,Platform_A,35.00006158485652,130.01755654810813,K2BlackPanther,35.000016413516654,130.02720409077793,T90,35.00016752106155,130.03018032968313,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:04Z,Platform_A,35.00003939460049,130.0175465784072,K2BlackPanther,35.000039215788384,130.02723593224616,T90,35.00017600088673,130.03011447426206,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:05Z,Platform_A,35.00005026769571,130.01754139215848,K2BlackPanther,35.000012420540756,130.02723533538497,T90,35.000154976664156,130.03000026154712,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:06Z,Platform_A,35.000071982207615,130.0175581037951,K2BlackPanther,35.000020293683306,130.02721086064426,T90,35.00016736360898,130.02994607551463,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:07Z,Platform_A,35.00003435849927,130.017569662903,K2BlackPanther,35.000042894884146,130.02721669221148,T90,35.00014314440279,130.02985378148963,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:08Z,Platform_A,35.00007218090784,130.0175601095367,K2BlackPanther,35.00004034598255,130.02721803058412,T90,35.00016384265958,130.02978958398694,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:09Z,Platform_A,35.000072230842676,130.0175774567969,K2BlackPanther,35.00003380790922,130.0272310509547,T90,35.00014578910165,130.0297285581422,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:10Z,Platform_A,35.00004760196335,130.01756228337143,K2BlackPanther,35.00002980015495,130.02719842313664,T90,35.000168802828654,130.02967251815818,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:11Z,Platform_A,35.00007539364754,130.0175614039995,K2BlackPanther,35.00003030186142,130.02720733842767,T90,35.0001531020953,130.02959453221933,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:12Z,Platform_A,35.00005569154879,130.0175701230026,K2BlackPanther,35.000046911422885,130.02723895165636,T90,35.00017185859385,130.02948746548083,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:13Z,Platform_A,35.0000369966468,130.0175672530933,K2BlackPanther,35.00001238305814,130.02721070429536,T90,35.000163066467664,130.02945226965718,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:14Z,Platform_A,35.000049899535945,130.01755381258386,K2BlackPanther,35.00001631525245,130.02720082371178,T90,35.000175254681864,130.02936757424183,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:15Z,Platform_A,35.000072747264845,130.01754984396686,K2BlackPanther,35.00005159125374,130.02722202873906,T90,35.00014681389286,130.02927401360486,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:16Z,Platform_A,35.000038785854926,130.01757309392607,K2BlackPanther,35.00001073485189,130.02721734734982,T90,35.00017363913839,130.02920934118993,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:17Z,Platform_A,35.00004526556021,130.01756191614263,K2BlackPanther,35.00004236722917,130.02721786000416,T90,35.00017490202783,130.02912247767415,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:18Z,Platform_A,35.00007583355194,130.0175668951218,K2BlackPanther,35.00005305625881,130.02721069887025,T90,35.00017392822001,130.02906920284903,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:19Z,Platform_A,35.00007527877351,130.0175402652454,K2BlackPanther,35.00002628221859,130.027208226983,T90,35.000155609977966,130.02900386736465,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:20Z,Platform_A,35.000064230333194,130.01757627329116,K2BlackPanther,35.00002125338143,130.02720340403872,T90,35.00017673844146,130.02890256429035,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:21Z,Platform_A,35.00006392509451,130.0175645151461,K2BlackPanther,35.00003195362432,130.02720299801365,T90,35.000159496311234,130.02883810996417,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:22Z,Platform_A,35.00007178755322,130.0175700587775,K2BlackPanther,35.00002975102265,130.02721353561267,T90,35.00016393792937,130.02875198453626,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:23Z,Platform_A,35.00004448301914,130.01757310251222,K2BlackPanther,35.00003371984582,130.02719779750063,T90,35.00016863218232,130.02869124792784,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:24Z,Platform_A,35.000054763106505,130.01753831574575,K2BlackPanther,35.00001359991542,130.0272122341508,T90,35.0001531267249,130.02863457862347,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:25Z,Platform_A,35.00005113311774,130.01756412418916,K2BlackPanther,35.000035926316635,130.02722465273175,T90,35.000172424073746,130.02855351611277,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:26Z,Platform_A,35.000035403133694,130.01756521116658,K2BlackPanther,35.00002718348288,130.02722845998994,T90,35.00016253034955,130.02846858190236,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:27Z,Platform_A,35.0000672172204,130.01753979083935,K2BlackPanther,35.00002808352396,130.02723606224822,T90,35.00014241206708,130.02840062174892,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:28Z,Platform_A,35.0000565018382,130.01754381132037,K2BlackPanther,35.000018667004106,130.02720631263048,T90,35.00014543731709,130.02834129774996,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:29Z,Platform_A,35.00004112695918,130.0175665449777,K2BlackPanther,35.000013507343375,130.0272377048881,T90,35.00016156555147,130.02824743366892,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:30Z,Platform_A,35.00006839884398,130.01756375879535,K2BlackPanther,35.00004088658431,130.0272268330045,T90,35.00014837729997,130.02819071578367,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:31Z,Platform_A,35.00006036765368,130.0175527632665,K2BlackPanther,35.00001486243862,130.02722960217088,T90,35.00014629484049,130.0281196946755,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:32Z,Platform_A,35.0000712763228,130.01754339930855,K2BlackPanther,35.00004177695681,130.0272321809763,T90,35.00018134307779,130.02804736820255,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:33Z,Platform_A,35.0000335193189,130.0175720125005,K2BlackPanther,35.00005223851012,130.0271996998871,T90,35.00015572247449,130.02797042289637,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:34Z,Platform_A,35.00005153346182,130.01756465464595,K2BlackPanther,35.000025686858756,130.02721971464535,T90,35.000178435593355,130.02786774891516,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:35Z,Platform_A,35.00007027457269,130.01754301787187,K2BlackPanther,35.000042595687624,130.02719879394155,T90,35.000171992360414,130.0278124168957,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:36Z,Platform_A,35.000049393600996,130.01755765532195,K2BlackPanther,35.00001025273489,130.02721321193,T90,35.00016373746488,130.02771793177305,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:37Z,Platform_A,35.00005929992164,130.01754378902237,K2BlackPanther,35.00004036128858,130.02720881585438,T90,35.00017611862229,130.02765207080563,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:38Z,Platform_A,35.000051315934364,130.01756420346487,K2BlackPanther,35.000026449497135,130.02720626812544,T90,35.0001552241759,130.0275785177153,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:39Z,Platform_A,35.00007080968061,130.01757307381385,K2BlackPanther,35.000034958015064,130.02721765706818,T90,35.00017872845815,130.02751093999385,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:40Z,Platform_A,35.00003976124515,130.01755037793168,K2BlackPanther,35.000028139581296,130.02723691101997,T90,35.00018024475607,130.02742210781128,behind,ahead of,behind,ahead of,ahead of,behind
+2026-02-05T22:38:41Z,Platform_A,35.00004414075942,130.01755015177835,K2BlackPanther,35.00004775801899,130.02722030494107,T90,35.000158633027596,130.02735471209522,behind,ahead of,behind,ahead of,ahead of,behind
