time,BF_object_A,lat_A,long_A,BF_object_B,lat_B,long_B,BF_object_C,lat_C,long_C,A-B,B-A,B-C,C-B,A-C,C-A
+2026-02-05T22:36:46Z,T-62,35.1,129.031317,T-72,35.1000541,129.03151455,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:47Z,T-62,35.1,129.0314048,T-72,35.1000541,129.03161552,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:48Z,T-62,35.1,129.0314926,T-72,35.1000541,129.03171649,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:49Z,T-62,35.1,129.0315804,T-72,35.1000541,129.03181746,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:50Z,T-62,35.1,129.0316682,T-72,35.1000541,129.03191843,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:51Z,T-62,35.1,129.031756,T-72,35.1000541,129.0320194,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:52Z,T-62,35.1,129.0318438,T-72,35.1000541,129.03212037,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:53Z,T-62,35.1,129.0319316,T-72,35.1000541,129.03222134,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:54Z,T-62,35.1,129.0320194,T-72,35.1000541,129.03232231,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:55Z,T-62,35.1,129.0321072,T-72,35.1000541,129.03242328,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:56Z,T-62,35.1,129.032195,T-72,35.1000541,129.03252425,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:57Z,T-62,35.1,129.0322828,T-72,35.1000541,129.03262522,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:58Z,T-62,35.1,129.0323706,T-72,35.1000541,129.03272619,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:36:59Z,T-62,35.1,129.0324584,T-72,35.1000541,129.03282716,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:00Z,T-62,35.1,129.0325462,T-72,35.1000541,129.03292813,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:01Z,T-62,35.1,129.032634,T-72,35.1000541,129.0330291,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:02Z,T-62,35.1,129.0327218,T-72,35.1000541,129.03313007,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:03Z,T-62,35.1,129.0328096,T-72,35.1000541,129.03323104,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:04Z,T-62,35.1,129.0328974,T-72,35.1000541,129.03333201,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:05Z,T-62,35.1,129.0329852,T-72,35.1000541,129.03343298000001,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:06Z,T-62,35.1,129.033073,T-72,35.1000541,129.03353395,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:07Z,T-62,35.1,129.0331608,T-72,35.1000541,129.03363492,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:08Z,T-62,35.1,129.0332486,T-72,35.1000541,129.03373589,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:09Z,T-62,35.1,129.0333364,T-72,35.1000541,129.03383686,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:10Z,T-62,35.1,129.0334242,T-72,35.1000541,129.03393783,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:11Z,T-62,35.1,129.033512,T-72,35.1000541,129.0340388,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:12Z,T-62,35.1,129.0335998,T-72,35.1000541,129.03413977,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:13Z,T-62,35.1,129.0336876,T-72,35.1000541,129.03424074,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:14Z,T-62,35.1,129.0337754,T-72,35.1000541,129.03434171,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:15Z,T-62,35.1,129.0338632,T-72,35.1000541,129.03444268,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:16Z,T-62,35.1,129.033951,T-72,35.1000541,129.03454365,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:17Z,T-62,35.1,129.0340388,T-72,35.1000541,129.03464462,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:18Z,T-62,35.1,129.0341266,T-72,35.1000541,129.03474559,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:19Z,T-62,35.1,129.0342144,T-72,35.1000541,129.03484656,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:20Z,T-62,35.1,129.0343022,T-72,35.1000541,129.03494753,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:21Z,T-62,35.1,129.03439,T-72,35.1000541,129.0350485,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:22Z,T-62,35.1,129.0344778,T-72,35.1000541,129.03514947,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:23Z,T-62,35.1,129.0345656,T-72,35.1000541,129.03525044,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:24Z,T-62,35.1,129.0346534,T-72,35.1000541,129.03535141,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:25Z,T-62,35.1,129.0347412,T-72,35.1000541,129.03545238,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:26Z,T-62,35.1,129.034829,T-72,35.1000541,129.03555335000001,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:27Z,T-62,35.1,129.0349168,T-72,35.1000541,129.03565432,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:28Z,T-62,35.1,129.0350046,T-72,35.1000541,129.03575529,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:29Z,T-62,35.1,129.0350924,T-72,35.1000541,129.03585626,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:30Z,T-62,35.1,129.0351802,T-72,35.1000541,129.03595723,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:31Z,T-62,35.1,129.035268,T-72,35.1000541,129.0360582,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:32Z,T-62,35.1,129.0353558,T-72,35.1000541,129.03615917,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:33Z,T-62,35.1,129.0354436,T-72,35.1000541,129.03626014,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:34Z,T-62,35.1,129.0355314,T-72,35.1000541,129.03636111,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:35Z,T-62,35.1,129.0356192,T-72,35.1000541,129.03646208,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:36Z,T-62,35.1,129.035707,T-72,35.1000541,129.03656305,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:37Z,T-62,35.1,129.0357948,T-72,35.1000541,129.03666402,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:38Z,T-62,35.1,129.0358826,T-72,35.1000541,129.03676499,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:39Z,T-62,35.1,129.0359704,T-72,35.1000541,129.03686596,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:40Z,T-62,35.1,129.0360582,T-72,35.1000541,129.03696693,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:41Z,T-62,35.1,129.036146,T-72,35.1000541,129.0370679,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:42Z,T-62,35.1,129.0362338,T-72,35.1000541,129.03716887,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:43Z,T-62,35.1,129.0363216,T-72,35.1000541,129.03726984,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:44Z,T-62,35.1,129.0364094,T-72,35.1000541,129.03737081,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:45Z,T-62,35.1,129.0364972,T-72,35.1000541,129.03747178,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:46Z,T-62,35.1,129.036585,T-72,35.1000541,129.03757275,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:47Z,T-62,35.1,129.0366728,T-72,35.1000541,129.03767372000002,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:48Z,T-62,35.1,129.0367606,T-72,35.1000541,129.03777469,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:49Z,T-62,35.1,129.0368484,T-72,35.1000541,129.03787566,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:50Z,T-62,35.1,129.0369362,T-72,35.1000541,129.03797663,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:51Z,T-62,35.1,129.037024,T-72,35.1000541,129.0380776,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:52Z,T-62,35.1,129.0371118,T-72,35.1000541,129.03817857,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:53Z,T-62,35.1,129.0371996,T-72,35.1000541,129.03827954,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:54Z,T-62,35.1,129.0372874,T-72,35.1000541,129.03838051,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:55Z,T-62,35.1,129.0373752,T-72,35.1000541,129.03848148,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:56Z,T-62,35.1,129.037463,T-72,35.1000541,129.03858245,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:57Z,T-62,35.1,129.0375508,T-72,35.1000541,129.03868342,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:58Z,T-62,35.1,129.0376386,T-72,35.1000541,129.03878439,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:37:59Z,T-62,35.1,129.0377264,T-72,35.1000541,129.03888536,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:00Z,T-62,35.1,129.0378142,T-72,35.1000541,129.03898633,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:01Z,T-62,35.1,129.037902,T-72,35.1000541,129.0390873,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:02Z,T-62,35.1,129.0379898,T-72,35.1000541,129.03918827,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:03Z,T-62,35.1,129.0380776,T-72,35.1000541,129.03928924,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:04Z,T-62,35.1,129.0381654,T-72,35.1000541,129.03939021,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:05Z,T-62,35.1,129.0382532,T-72,35.1000541,129.03949118,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:06Z,T-62,35.1,129.038341,T-72,35.1000541,129.03959215,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:07Z,T-62,35.1,129.0384288,T-72,35.1000541,129.03969312,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:08Z,T-62,35.1,129.0385166,T-72,35.1000541,129.03979409000002,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:09Z,T-62,35.1,129.0386044,T-72,35.1000541,129.03989506,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:10Z,T-62,35.1,129.0386922,T-72,35.1000541,129.03999603,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:11Z,T-62,35.1,129.03878,T-72,35.1000541,129.040097,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:12Z,T-62,35.1,129.0388678,T-72,35.1000541,129.04019797,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:13Z,T-62,35.1,129.0389556,T-72,35.1000541,129.04029894,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:14Z,T-62,35.1,129.0390434,T-72,35.1000541,129.04039991,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:15Z,T-62,35.1,129.0391312,T-72,35.1000541,129.04050088,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:16Z,T-62,35.1,129.039219,T-72,35.1000541,129.04060185,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:17Z,T-62,35.1,129.0393068,T-72,35.1000541,129.04070282,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:18Z,T-62,35.1,129.0393946,T-72,35.1000541,129.04080379,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:19Z,T-62,35.1,129.0394824,T-72,35.1000541,129.04090476,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:20Z,T-62,35.1,129.0395702,T-72,35.1000541,129.04100573,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:21Z,T-62,35.1,129.039658,T-72,35.1000541,129.0411067,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:22Z,T-62,35.1,129.0397458,T-72,35.1000541,129.04120767,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:23Z,T-62,35.1,129.0398336,T-72,35.1000541,129.04130864,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:24Z,T-62,35.1,129.0399214,T-72,35.1000541,129.04140961,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:25Z,T-62,35.1,129.04000920000001,T-72,35.1000541,129.04151058,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:26Z,T-62,35.1,129.040097,T-72,35.1000541,129.04161155,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:27Z,T-62,35.1,129.0401848,T-72,35.1000541,129.04171252,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:28Z,T-62,35.1,129.0402726,T-72,35.1000541,129.04181349,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:29Z,T-62,35.1,129.0403604,T-72,35.1000541,129.04191446000002,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:30Z,T-62,35.1,129.04044820000001,T-72,35.1000541,129.04201543,BTR-80,35.1001082,129.04756,in back of,in front of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:31Z,T-62,35.1,129.040536,T-72,35.1000541,129.04000920000001,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:32Z,T-62,35.1,129.0406238,T-72,35.1000541,129.04009261,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:33Z,T-62,35.1,129.0407116,T-72,35.1000541,129.04017602,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:34Z,T-62,35.1,129.0407994,T-72,35.1000541,129.04025943,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:35Z,T-62,35.1,129.04088720000001,T-72,35.1000541,129.04034284,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:36Z,T-62,35.1,129.040975,T-72,35.1000541,129.04042625,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:37Z,T-62,35.1,129.0410628,T-72,35.1000541,129.04050966,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:38Z,T-62,35.1,129.0411506,T-72,35.1000541,129.04059307,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:39Z,T-62,35.1,129.0412384,T-72,35.1000541,129.04067648,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:40Z,T-62,35.1,129.04132620000001,T-72,35.1000541,129.04075989,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:41Z,T-62,35.1,129.041414,T-72,35.1000541,129.0408433,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:42Z,T-62,35.1,129.0415018,T-72,35.1000541,129.04092671,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:43Z,T-62,35.1,129.0415896,T-72,35.1000541,129.04101012,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:44Z,T-62,35.1,129.0416774,T-72,35.1000541,129.04109353,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:45Z,T-62,35.1,129.04176520000001,T-72,35.1000541,129.04117694,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:46Z,T-62,35.1,129.041853,T-72,35.1000541,129.04126035,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:47Z,T-62,35.1,129.0419408,T-72,35.1000541,129.04134376,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:48Z,T-62,35.1,129.0420286,T-72,35.1000541,129.04142717,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:49Z,T-62,35.1,129.0421164,T-72,35.1000541,129.04151058,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:50Z,T-62,35.1,129.04220420000001,T-72,35.1000541,129.04159399,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:51Z,T-62,35.1,129.042292,T-72,35.1000541,129.0416774,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:52Z,T-62,35.1,129.0423798,T-72,35.1000541,129.04176081,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:53Z,T-62,35.1,129.0424676,T-72,35.1000541,129.04184422,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:54Z,T-62,35.1,129.0425554,T-72,35.1000541,129.04192763,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:55Z,T-62,35.1,129.04264320000001,T-72,35.1000541,129.04201104,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:56Z,T-62,35.1,129.042731,T-72,35.1000541,129.04209445,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:57Z,T-62,35.1,129.0428188,T-72,35.1000541,129.04217786,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:58Z,T-62,35.1,129.0429066,T-72,35.1000541,129.04226127,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:38:59Z,T-62,35.1,129.0429944,T-72,35.1000541,129.04234468,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:00Z,T-62,35.1,129.04308220000001,T-72,35.1000541,129.04242809,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:01Z,T-62,35.1,129.04317,T-72,35.1000541,129.0425115,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:02Z,T-62,35.1,129.0432578,T-72,35.1000541,129.04259491,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:03Z,T-62,35.1,129.0433456,T-72,35.1000541,129.04267832,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:04Z,T-62,35.1,129.0434334,T-72,35.1000541,129.04276173,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:05Z,T-62,35.1,129.04352120000001,T-72,35.1000541,129.04284514,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:06Z,T-62,35.1,129.043609,T-72,35.1000541,129.04292855,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:07Z,T-62,35.1,129.0436968,T-72,35.1000541,129.04301196,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:08Z,T-62,35.1,129.0437846,T-72,35.1000541,129.04309537,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:09Z,T-62,35.1,129.0438724,T-72,35.1000541,129.04317878,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
+2026-02-05T22:39:10Z,T-62,35.1,129.04396020000001,T-72,35.1000541,129.04326219,BTR-80,35.1001082,129.04756,in front of,in back of,in back of,in front of,in back of,in front of
