time,BF_object_C,lat_C,long_C,BF_object_D,lat_D,long_D,BF_object_E,lat_E,long_E,C-D,D-C,D-E,E-D,C-E,E-C
+2026-02-05T22:36:42Z,Platform_A,35.0000936498449,130.01757404161643,K2BlackPanther,35.00004324823539,130.0246004314206,T90,35.0001776928173,130.03623716792038,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:43Z,Platform_A,35.00009384880833,130.01755191781342,K2BlackPanther,35.00006929852814,130.0245980424371,T90,35.000148179232994,130.03617763648595,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:44Z,Platform_A,35.0000942610991,130.01755164817266,K2BlackPanther,35.00005907371653,130.02457376134095,T90,35.0001490367712,130.0361305223889,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:45Z,Platform_A,35.000120416701336,130.0175554095716,K2BlackPanther,35.00006726110944,130.0245768933677,T90,35.00017336972781,130.03607089849316,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:46Z,Platform_A,35.00009809775553,130.017547033901,K2BlackPanther,35.000062544351174,130.0245913608618,T90,35.00016150631687,130.0359846258758,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:47Z,Platform_A,35.00009232058407,130.01755651266444,K2BlackPanther,35.00004026431838,130.02457344467092,T90,35.00014893680264,130.03590545416867,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:48Z,Platform_A,35.000123025020514,130.01756936560187,K2BlackPanther,35.00005160033185,130.02457741940543,T90,35.00016096400919,130.03585002725606,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:49Z,Platform_A,35.00010694093054,130.01757861516083,K2BlackPanther,35.000060692281046,130.0245974624634,T90,35.00016846415181,130.03580604497515,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:50Z,Platform_A,35.00010734739895,130.0175747068117,K2BlackPanther,35.00006992060584,130.02457876473355,T90,35.00016923695397,130.0357234153124,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:51Z,Platform_A,35.00009516083761,130.01756727163612,K2BlackPanther,35.00004726139425,130.02457731537015,T90,35.00015504477207,130.03567288541112,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:52Z,Platform_A,35.000111277991245,130.01757153861504,K2BlackPanther,35.00006307678346,130.02458828780047,T90,35.000167462155915,130.03559707289517,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:53Z,Platform_A,35.00011499519928,130.01756997796642,K2BlackPanther,35.000055147351006,130.02457965339383,T90,35.00016103304279,130.03556548739468,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:54Z,Platform_A,35.000090175577334,130.0175816216544,K2BlackPanther,35.000067664546165,130.02460182337117,T90,35.00015347210082,130.03546053390127,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:55Z,Platform_A,35.00012260455497,130.01756483485534,K2BlackPanther,35.00005284332379,130.02459151131376,T90,35.000165687699,130.03543989909025,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:56Z,Platform_A,35.000091103992965,130.0175496245874,K2BlackPanther,35.00004162470062,130.02460566372633,T90,35.0001540794415,130.0353394636637,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:57Z,Platform_A,35.000099009028,130.01757808026414,K2BlackPanther,35.00004417169578,130.02457604889472,T90,35.00017898682682,130.03529286823664,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:58Z,Platform_A,35.000120941653854,130.0175774363066,K2BlackPanther,35.000041717463624,130.024567527371,T90,35.00016689999324,130.03524985736712,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:36:59Z,Platform_A,35.00010072667266,130.017573306809,K2BlackPanther,35.000052045312,130.02459277567203,T90,35.00015339747634,130.0351603797037,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:00Z,Platform_A,35.000095773151564,130.01757217531573,K2BlackPanther,35.00004562800298,130.0245868679455,T90,35.00015137843124,130.03508896067623,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:01Z,Platform_A,35.00012362462619,130.01758114965617,K2BlackPanther,35.00004757450797,130.0245662476601,T90,35.000146149556215,130.03503096120608,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:02Z,Platform_A,35.00009158556113,130.01754693879087,K2BlackPanther,35.00005755538379,130.02458522723578,T90,35.00017414943676,130.0349619992133,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:03Z,Platform_A,35.00011264215357,130.0175733294928,K2BlackPanther,35.00006647587104,130.0246010283514,T90,35.000155305733635,130.0349108160551,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:04Z,Platform_A,35.0001186887631,130.01754101550867,K2BlackPanther,35.0000667371574,130.02456841774324,T90,35.00017905714624,130.03483438816153,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:05Z,Platform_A,35.000124709145624,130.0175645834732,K2BlackPanther,35.000061924440494,130.0245885102113,T90,35.000159184502195,130.0347667770569,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:06Z,Platform_A,35.000110153948896,130.01753834892108,K2BlackPanther,35.000058321900234,130.02457072449576,T90,35.00016611019106,130.0347379524711,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:07Z,Platform_A,35.000118372013226,130.01754122435355,K2BlackPanther,35.000070607747766,130.02458142475854,T90,35.00017100797379,130.03465365629407,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:08Z,Platform_A,35.00010290008791,130.0175499138313,K2BlackPanther,35.00005713798089,130.02460203737257,T90,35.00017715306543,130.03461219115852,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:09Z,Platform_A,35.00011085414211,130.0175515968841,K2BlackPanther,35.00005187641784,130.02460116042556,T90,35.00014912166757,130.0345162435864,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:10Z,Platform_A,35.00011423714509,130.01754727639135,K2BlackPanther,35.0000639997964,130.02459169888476,T90,35.00015048415058,130.0344520067205,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:11Z,Platform_A,35.000096176047435,130.0175479560777,K2BlackPanther,35.000063495122326,130.02457213302995,T90,35.00014900317921,130.03439550795323,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:12Z,Platform_A,35.000104696984494,130.01757245063936,K2BlackPanther,35.000061716259005,130.02457417969285,T90,35.000177999624995,130.03435478458155,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:13Z,Platform_A,35.000111419489954,130.01756567400014,K2BlackPanther,35.0000549598142,130.02457776099834,T90,35.00017121709971,130.03426732881752,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:14Z,Platform_A,35.000107855988695,130.01754210203458,K2BlackPanther,35.00003816804281,130.02460489889003,T90,35.00017676347694,130.03420986974032,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:15Z,Platform_A,35.00010982425459,130.01756085183376,K2BlackPanther,35.00004020083316,130.02456983125452,T90,35.000147365044384,130.0341706558057,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:16Z,Platform_A,35.00010379602086,130.01756549844634,K2BlackPanther,35.000049212045205,130.02459200946245,T90,35.00017194516098,130.03406930258086,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:17Z,Platform_A,35.00009170753133,130.01756424014346,K2BlackPanther,35.00003667317047,130.0245861948574,T90,35.00016431308879,130.0340077026265,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:18Z,Platform_A,35.00011793447121,130.01755450544746,K2BlackPanther,35.00006170241186,130.02460056201463,T90,35.00016098612816,130.03397913144659,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:19Z,Platform_A,35.000119919989764,130.01754405769964,K2BlackPanther,35.0000681093055,130.02456911254114,T90,35.00015320366865,130.03388305173172,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:20Z,Platform_A,35.00012018223332,130.01754955697734,K2BlackPanther,35.00005451363935,130.02459871056882,T90,35.000154977740316,130.03383688503365,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:21Z,Platform_A,35.00011431975515,130.01756428287567,K2BlackPanther,35.00006894052619,130.0245733183122,T90,35.00017436796185,130.0337847086948,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:22Z,Platform_A,35.00009843724543,130.01755792665367,K2BlackPanther,35.00006128199911,130.0245812607132,T90,35.00015773548327,130.03370056219578,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:23Z,Platform_A,35.00009941003172,130.01753994583302,K2BlackPanther,35.000044496350355,130.02459516537655,T90,35.00016670048088,130.03365442362536,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:24Z,Platform_A,35.00010867174898,130.01754417152964,K2BlackPanther,35.00005371245443,130.02458779610984,T90,35.00016004154386,130.03357983144875,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:25Z,Platform_A,35.000106540041635,130.0175593005841,K2BlackPanther,35.00006453276776,130.02456345615343,T90,35.00016492269874,130.03352524806834,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:26Z,Platform_A,35.00010929914955,130.01755519254164,K2BlackPanther,35.00004325080735,130.02460110150298,T90,35.000146298971764,130.03346378196997,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:27Z,Platform_A,35.000117933374284,130.01756381430363,K2BlackPanther,35.000060212099775,130.02459144372938,T90,35.00016737712237,130.03340674160754,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:28Z,Platform_A,35.00010588730715,130.01757772381566,K2BlackPanther,35.00006380260903,130.0246016294307,T90,35.00016874001568,130.0333069606623,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:29Z,Platform_A,35.000094064262164,130.01755534987586,K2BlackPanther,35.00005160917932,130.02457029934342,T90,35.000174900469,130.0332718007964,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:30Z,Platform_A,35.00011473962437,130.0175735042792,K2BlackPanther,35.000068375134454,130.02456850915735,T90,35.00017306309907,130.03321244709826,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:31Z,Platform_A,35.000110016533164,130.01755729175724,K2BlackPanther,35.0000487241644,130.02458384404633,T90,35.00016529061983,130.03312077570178,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:32Z,Platform_A,35.00010134285199,130.01755863287508,K2BlackPanther,35.000037995505664,130.02460252291723,T90,35.00017730190821,130.03309246027936,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:33Z,Platform_A,35.000106429542384,130.01755575546525,K2BlackPanther,35.00005980659172,130.0246011908101,T90,35.000157801115606,130.0330327768409,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:34Z,Platform_A,35.00010791871716,130.0175599814843,K2BlackPanther,35.00006424398438,130.02460426787806,T90,35.000171293077116,130.03296402203574,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:35Z,Platform_A,35.00009450537239,130.01754912659877,K2BlackPanther,35.00006173571803,130.02457934367345,T90,35.000167354538924,130.03289738238357,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:36Z,Platform_A,35.00011197220816,130.01754198409694,K2BlackPanther,35.00005198721198,130.0245962560628,T90,35.000175815476126,130.03282756304333,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:37Z,Platform_A,35.00011918310115,130.01757493235232,K2BlackPanther,35.00005140567702,130.02459061122653,T90,35.00016588068685,130.03277417487612,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:38Z,Platform_A,35.00011718521584,130.01754834891037,K2BlackPanther,35.000041985874965,130.024598905653,T90,35.0001526092428,130.0326877189608,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:39Z,Platform_A,35.00011486802073,130.01755736982835,K2BlackPanther,35.00004682193866,130.02456703188997,T90,35.00016075250064,130.03262901847265,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:40Z,Platform_A,35.000118642041386,130.01757528836274,K2BlackPanther,35.00007055038269,130.0245986857992,T90,35.00015628214004,130.0325510046768,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:41Z,Platform_A,35.000106471050486,130.01755133848596,K2BlackPanther,35.00004194453198,130.02457476859794,T90,35.000175328839084,130.03252173846988,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:42Z,Platform_A,35.000105412459284,130.0175508090946,K2BlackPanther,35.00004960307062,130.02457163475344,T90,35.00017311622281,130.03244474332308,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:43Z,Platform_A,35.000100475332516,130.0175482735524,K2BlackPanther,35.00007149191476,130.02459105392725,T90,35.00015234796711,130.03237973765104,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:44Z,Platform_A,35.00009306907808,130.01758023775386,K2BlackPanther,35.00005617167513,130.0245703198049,T90,35.000171168499804,130.03229853583775,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:45Z,Platform_A,35.000100930803725,130.01757642675696,K2BlackPanther,35.00007152764249,130.02456376499364,T90,35.00015556296637,130.03224118651053,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:46Z,Platform_A,35.000099392488195,130.0175667585636,K2BlackPanther,35.00004989227195,130.02458325540422,T90,35.00015592333028,130.03220717858463,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:47Z,Platform_A,35.000101806605315,130.01756091641008,K2BlackPanther,35.00003698811507,130.02458752560023,T90,35.00016813138555,130.0321080572004,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:48Z,Platform_A,35.000096249393444,130.01754790693766,K2BlackPanther,35.00006435793235,130.0245939598992,T90,35.00017507176045,130.03204763956956,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:49Z,Platform_A,35.00011858186538,130.01755804509912,K2BlackPanther,35.00005467336013,130.02458692764532,T90,35.0001548763362,130.03198839045683,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:50Z,Platform_A,35.00010891059149,130.01756888496965,K2BlackPanther,35.000047098861195,130.0245844056005,T90,35.00016325652161,130.0319360809738,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:51Z,Platform_A,35.00012400646225,130.0175699050765,K2BlackPanther,35.000067683515475,130.02459707234203,T90,35.00017745705853,130.0318609214857,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:52Z,Platform_A,35.00009091933937,130.01757671669503,K2BlackPanther,35.00006309265257,130.02458823188712,T90,35.00015521509823,130.03182020893377,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:53Z,Platform_A,35.00010116040575,130.0175530938474,K2BlackPanther,35.00006187154822,130.02459000110304,T90,35.00017081722213,130.03174377218383,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:54Z,Platform_A,35.00009888321144,130.0175489821938,K2BlackPanther,35.00004312437715,130.02460300246298,T90,35.00017700288217,130.03170064359267,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:55Z,Platform_A,35.00012289381556,130.01756563391675,K2BlackPanther,35.00007202305682,130.02458049188326,T90,35.000179801512346,130.0316145436312,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:56Z,Platform_A,35.00012049764836,130.01753960884085,K2BlackPanther,35.000049950511745,130.0245740396503,T90,35.00017769187557,130.0315463090361,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:57Z,Platform_A,35.00011242123099,130.0175753894726,K2BlackPanther,35.00004120073169,130.02460280426766,T90,35.000170996873045,130.03150097387518,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:58Z,Platform_A,35.00012103753111,130.01758124182723,K2BlackPanther,35.000058108664525,130.02458172169892,T90,35.000151467411435,130.0314412132069,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:37:59Z,Platform_A,35.00012378702134,130.01757805009592,K2BlackPanther,35.00005746220693,130.02456615187185,T90,35.000162765518866,130.0313554660292,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:00Z,Platform_A,35.00011881843972,130.01753903842885,K2BlackPanther,35.00003621635964,130.0245636734922,T90,35.000144493308575,130.03131701558036,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:01Z,Platform_A,35.000112452904915,130.01757390553405,K2BlackPanther,35.00006436194616,130.0245810044693,T90,35.00015888316052,130.0312410463533,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:02Z,Platform_A,35.00011259513536,130.01754948163008,K2BlackPanther,35.00006619780021,130.02457004621374,T90,35.00016701094071,130.0311566981127,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:03Z,Platform_A,35.000109166016635,130.01755477450774,K2BlackPanther,35.00007164560546,130.02460131405044,T90,35.00017309891461,130.03110624302482,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:04Z,Platform_A,35.0000907956505,130.0175404086966,K2BlackPanther,35.000046633349626,130.02459163443595,T90,35.000167425956356,130.03106681652085,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:05Z,Platform_A,35.00010863806472,130.01757576096264,K2BlackPanther,35.0000702152161,130.02458061355674,T90,35.00017951459135,130.03099342155187,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:06Z,Platform_A,35.00010665259469,130.0175437402869,K2BlackPanther,35.00006035434583,130.02456365250148,T90,35.00015490617123,130.03091032186828,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:07Z,Platform_A,35.000093372712804,130.01756751676612,K2BlackPanther,35.00004281924445,130.02459192714724,T90,35.000167869991174,130.0308797367531,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:08Z,Platform_A,35.00011994768431,130.0175568043212,K2BlackPanther,35.000063650175996,130.0245892641294,T90,35.00017118559885,130.0307849875543,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:09Z,Platform_A,35.00011159906635,130.01756878272377,K2BlackPanther,35.000042499625586,130.02457944127818,T90,35.00017269277295,130.03073197816056,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:10Z,Platform_A,35.00012235536268,130.01755418887794,K2BlackPanther,35.00005652887713,130.02457378722812,T90,35.00015669819217,130.03065551020458,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:11Z,Platform_A,35.000118815343605,130.01756108388892,K2BlackPanther,35.0000407239109,130.02456767130775,T90,35.00017025501508,130.0305981037784,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:12Z,Platform_A,35.00009105012522,130.01757754160337,K2BlackPanther,35.000062438686,130.02460074197282,T90,35.000165783334616,130.03053386824112,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:13Z,Platform_A,35.00009432475585,130.01756652757535,K2BlackPanther,35.00006890803092,130.0245930899272,T90,35.00016062390291,130.0304579964383,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:14Z,Platform_A,35.00011421881216,130.017558271437,K2BlackPanther,35.000061884223676,130.02457392038067,T90,35.00015639280216,130.0304165740306,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:15Z,Platform_A,35.00010894345271,130.01757058103092,K2BlackPanther,35.000038586403136,130.02459469625776,T90,35.00014603342541,130.0303425630176,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:16Z,Platform_A,35.00010327762522,130.01755279250807,K2BlackPanther,35.00005865715609,130.0245730953275,T90,35.00015472108662,130.0302723085832,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:17Z,Platform_A,35.00011934266229,130.0175590137918,K2BlackPanther,35.0000496106964,130.02459719732474,T90,35.0001654908831,130.03024420921244,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:18Z,Platform_A,35.000116373044065,130.01756609508132,K2BlackPanther,35.000071199287035,130.02456243781415,T90,35.00017397838686,130.0301420139591,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:19Z,Platform_A,35.00009825087764,130.01757219013155,K2BlackPanther,35.000062541642954,130.024569193577,T90,35.000152261601315,130.03010372359773,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:20Z,Platform_A,35.00009246522847,130.0175704665603,K2BlackPanther,35.00006533609303,130.02459778945524,T90,35.00017008897969,130.03001917342473,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:21Z,Platform_A,35.00012154217408,130.01755033777576,K2BlackPanther,35.000057556175115,130.02458621060242,T90,35.00015510750012,130.0299929895924,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:22Z,Platform_A,35.0001169746776,130.017562162699,K2BlackPanther,35.00004394692781,130.02456453332266,T90,35.00014844258293,130.02989275253364,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:23Z,Platform_A,35.000115276565765,130.0175566056042,K2BlackPanther,35.000041124981166,130.02459873467402,T90,35.0001550427544,130.02982896951679,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:24Z,Platform_A,35.00012455442393,130.01755019316795,K2BlackPanther,35.00004832442172,130.02456988502047,T90,35.00016044358037,130.02978380635815,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:25Z,Platform_A,35.00010637848803,130.01757848375206,K2BlackPanther,35.0000614075631,130.02457562566187,T90,35.000157186333105,130.02971950361658,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:26Z,Platform_A,35.00009145811437,130.01753876352643,K2BlackPanther,35.000067231446224,130.02459358854452,T90,35.000146002368815,130.02963752510445,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:27Z,Platform_A,35.00009816130041,130.01757495420492,K2BlackPanther,35.000057031971316,130.02457145564185,T90,35.0001725684385,130.02957036824273,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:28Z,Platform_A,35.000118205283655,130.0175437159781,K2BlackPanther,35.00003930686934,130.02457546892063,T90,35.00017628091135,130.02952969353427,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:29Z,Platform_A,35.00011657781249,130.01757288388112,K2BlackPanther,35.00004743743868,130.02458397061565,T90,35.000161094918845,130.02948569541223,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:30Z,Platform_A,35.00010760673521,130.0175778102709,K2BlackPanther,35.00005714158783,130.02458001418165,T90,35.00016659521301,130.0293948172767,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:31Z,Platform_A,35.00011459183764,130.01757302527105,K2BlackPanther,35.000056342568804,130.02456452370117,T90,35.00015418148785,130.0293252818717,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:32Z,Platform_A,35.00012454026577,130.01756936333476,K2BlackPanther,35.00007032477666,130.02456275090637,T90,35.00017181832742,130.02928543711516,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:33Z,Platform_A,35.000107028744715,130.01756148988235,K2BlackPanther,35.0000686179762,130.02457993371974,T90,35.00015228718911,130.02919303250778,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:34Z,Platform_A,35.00011533011423,130.01755914707164,K2BlackPanther,35.00004808707324,130.0245817538704,T90,35.0001544256381,130.0291285681836,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:35Z,Platform_A,35.0000941332452,130.0175653712729,K2BlackPanther,35.00006476827132,130.02459657693606,T90,35.00014853604439,130.0290734962463,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:36Z,Platform_A,35.000104375352635,130.01756686720935,K2BlackPanther,35.00005285920506,130.02458931368653,T90,35.000173167159225,130.02899973979987,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:37Z,Platform_A,35.000106825907515,130.0175646818018,K2BlackPanther,35.000050024616264,130.0245908901239,T90,35.00016617859843,130.0289774457187,behind of,ahead of,behind of,ahead of,behind of,ahead of
+2026-02-05T22:38:38Z,Platform_A,35.000125247861405,130.01756453212872,K2BlackPanther,35.000049874102984,130.02457865682132,T90,35.00015146193378,130.0288770004943,behind of,ahead of,behind of,ahead of,behind of,ahead of
